tender_no.,tender_description,agency,award_date,tender_detail_status,supplier_name,Price,Years experience ,no of s project done
BCA000ETT15000052,Consultancy Services for the Study of Stratigraphy and Structural Geology for Application to Geological Modelling,Building and Construction Authority,22-02-2016,Awarded to Suppliers,THE NATURAL ENVIRONMENT RESEARCH COUNCIL,2132145.05,3,3
BCA000ETT15000054,"PROVISION OF SOFTWARE, USER LICENSES AND PROFESSIONAL SERVICES TO STUDY, UPGRADE OR REVAMP AND MAINTAIN BCA HUMAN RESOURCE (HR) SYSTEM FROM 1 JAN 2016 to 31 DEC 2017 WITH AN OPTION TO EXTEND THE SYSTEM MAINTENANCE SERVICE FOR ANOTHER ONE YEAR",Building and Construction Authority,08-12-2015,Awarded to Suppliers,UNIT4 ASIA PACIFIC PTE. LTD.,560933.14,3,3
BCA000ETT15000055,Consultancy Service For Benchmarking Study On The Progressiveness Of Singapores Building Control Processes/ Framework,Building and Construction Authority,02-11-2015,Awarded to Suppliers,ARUP SINGAPORE PRIVATE LIMITED,488000,3,3
BCA000ETT15000056,APPOINTMENT OF TERM CONTRACTOR TO MAINTAIN FORESHORE STRUCTURES FOR BUILDING AND CONSTRUCTION AUTHORITY FOR A PERIOD OF 3 YEARS,Building and Construction Authority,29-02-2016,Awarded to Suppliers,FRONTBUILD ENGINEERING & CONSTRUCTION PTE LTD,2310000,3,3
BCA000ETT15000057,PROPOSED ESTATE UPGRADING PROGRAMME (EUP) BATCH 8 FOR GREENLEAF ESTATE,Building and Construction Authority,18-01-2016,Awarded to Suppliers,YU YEO CONSTRUCTION PTE LTD,1058910,3,3
BCA000ETT15000058,"APPOINTMENT OF A HUMAN RESOURCE (HR) CONSULTANCY AGENCY TO SURVEY, DEVELOP AND IMPLEMENT A HR GUIDEBOOK FOR THE BUILT ENVIRONMENT SECTOR",Building and Construction Authority,30-03-2016,Awarded to Suppliers,ERNST & YOUNG SOLUTIONS LLP,235000,3,3
BCA000ETT15000059,"UPGRADING AND MAINTENANCE OF THE WEIGHBRIDGE SYSTEM, INCLUDING TECHNOLOGY REFRESH OF ALL IT EQUIPMENT AND DEVELOPMENT OF NEW CONTROLLING SOFTWARE, AT PULAU PUNGGOL AGGREGATE TERMINAL",Building and Construction Authority,08-12-2015,Awarded to Suppliers,CSD INDUSTRIES PTE LTD,588000,3,3
BCA000ETT15000060,APPOINTMENT OF A MEDIA AGENCY TO PROPOSE AND MANAGE MEDIA BUY FOR THE BUILT ENVIRONMENT REBRANDING CAMPAIGN,Building and Construction Authority,06-01-2016,Awarded to Suppliers,I.M COMMUNICATIONS PTE. LTD.,3085321.7,3,3
BCA000ETT15000061,TERM CONTRACT FOR THE PROVISION OF ENGINEERING SERVICES TO INSPECT BUILDINGS,Building and Construction Authority,23-12-2015,Awarded to Suppliers,JIB SPECIALIST CONSULTANTS PTE. LTD.,144300,3,3
BCA000ETT15000065,PROVISION OF BALLROOM AND DINNER FOR BCA ANNUAL DINNER 2016,Building and Construction Authority,23-11-2015,Awarded to Suppliers,CITY HOTELS PTE. LTD.,70400,3,3
BCA000ETT15000068,GEOLOGICAL SURVEY AND INVESTIGATION WORK FOR STUDY AREA,Building and Construction Authority,31-03-2016,Awarded to Suppliers,"KISO-JIBAN CONSULTANTS CO., LTD SINGAPORE BRANCH",2798170,3,3
BCA000ETT15000069,PROVISION OF LEGAL SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FROM 1 JAN 2016 TO 31 JULY 2017,Building and Construction Authority,01-01-2016,Awarded to Suppliers,DONALDSON & BURKINSHAW LLP,6650,3,3
BCA000ETT15000069,PROVISION OF LEGAL SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FROM 1 JAN 2016 TO 31 JULY 2017,Building and Construction Authority,01-01-2016,Awarded to Suppliers,GATEWAY LAW CORPORATION,8000,3,3
BCA000ETT15000069,PROVISION OF LEGAL SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FROM 1 JAN 2016 TO 31 JULY 2017,Building and Construction Authority,01-01-2016,Awarded to Suppliers,KHATTARWONG LLP,6700,3,3
BCA000ETT15000069,PROVISION OF LEGAL SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FROM 1 JAN 2016 TO 31 JULY 2017,Building and Construction Authority,01-01-2016,Awarded to Suppliers,RAJAH & TANN SINGAPORE LLP,11760,3,3
BCA000ETT15000069,PROVISION OF LEGAL SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FROM 1 JAN 2016 TO 31 JULY 2017,Building and Construction Authority,01-01-2016,Awarded to Suppliers,YEO-LEONG & PEH LLC,6600,3,3
BCA000ETT15000070,APPOINTMENT OF EXTERNAL AUDITOR FOR BUILDING AND CONSTRUCTION AUTHORITY FOR FY2015 ACCOUNTS WITH OPTIONS TO EXTEND ON AN ANNUAL BASIS FOR ANOTHER 4 FINANCIAL YEARS,Building and Construction Authority,23-02-2016,Awarded to Suppliers,ERNST & YOUNG LLP,90000,3,3
BCA000ETT15000071,TERM CONTRACT FOR EVALUATION OF ESSENTIAL CONSTRUCTION MATERIALS (SAND & GRANITE),Building and Construction Authority,27-01-2016,Awarded to Suppliers,ADMATERIALS TECHNOLOGIES PTE. LTD.,1280,3,3
BCA000ETT15000071,TERM CONTRACT FOR EVALUATION OF ESSENTIAL CONSTRUCTION MATERIALS (SAND & GRANITE),Building and Construction Authority,27-01-2016,Awarded to Suppliers,Setsco Services Pte Ltd,1100,3,3
BCA000ETT15000071,TERM CONTRACT FOR EVALUATION OF ESSENTIAL CONSTRUCTION MATERIALS (SAND & GRANITE),Building and Construction Authority,27-01-2016,Awarded to Suppliers,TUV SUD AL TECHNOLOGIES PTE. LTD.,2025,3,3
BCA000ETT15000071,TERM CONTRACT FOR EVALUATION OF ESSENTIAL CONSTRUCTION MATERIALS (SAND & GRANITE),Building and Construction Authority,27-01-2016,Awarded to Suppliers,TUV SUD PSB PTE. LTD.,1140,3,3
BCA000ETT15000072,Invitation to Tender for the UD Explorer Activity Kit,Building and Construction Authority,10-02-2016,Awarded to Suppliers,BISCUIT BOX,135980,3,3
BCA000ETT15000073,Term Contract for security services at BCA Academy,Building and Construction Authority,24-03-2016,Awarded to Suppliers,GATES PCM INTEGRATED SERVICES PTE. LTD.,1320000,3,3
BCA000ETT15000080,"Conceptualisation, design, production, implementation and management of UD Explorers on Wheels Exhibition",Building and Construction Authority,18-03-2016,Awarded to Suppliers,Pico Art International Pte Ltd,805200,3,3
BCA000ETT15000081,"CONCEPTUALISE AND DEVELOP GRAPHIC LIBRARY AND VISUAL TEMPLATE, TOGETHER WITH PRODUCTION OF SUPPORTING COLLATERALS FOR BCAS BUILD IT GREEN (BiG) CLUB AND BUILD IT GREEN (BiG) CLUB JUNIOR",Building and Construction Authority,22-02-2016,Awarded to Suppliers,SILICONPLUS COMMUNICATIONS PTE. LTD.,93550,3,3
BCA000ETT15000082,APPOINTMENT OF AN EVENTS MANAGEMENT COMPANY TO MANAGE THE BCA AWARDS CEREMONY AND DINNER 2016,Building and Construction Authority,31-03-2016,Awarded to Suppliers,TRICOM EVENTS PRIVATE LIMITED,266645,3,3
BCA000ETT16000002,PROPOSED ESTATE UPGRADING PROGRAMME (EUP) BATCH 8 FOR HAIG ROAD AND TANJONG KATONG ESTATES,Building and Construction Authority,12-12-2016,Awarded to Suppliers,Advanced Construction & Engineering Pte Ltd,1547780,3,3
BCA000ETT16000003,"PROVISION OF VENUE, FACILITIES, FOOD AND BEVERAGE AND OTHER RELATED SERVICES FOR UNIVERSAL DESIGN (UD) CONFERENCE CUM INFORMATION SHOWCASE AT THE SINGAPORE UNIVERSAL DESIGN WEEK 2016 (SUDW 2016)",Building and Construction Authority,29-03-2016,Awarded to No Suppliers,Unknown,0,3,3
BCA000ETT16000004,Development of Green Buildings Innovation Cluster - National Building Energy Efficiency Repository (GBIC-Repository) - Phase 1: Study and Design,Building and Construction Authority,09-05-2015,Awarded to Suppliers,HITACHI ASIA LTD.,698000,3,3
BCA000ETT16000005,Venue for food and beverage (F&B) service provider for BCA Awards Ceremony and Dinner 2016,Building and Construction Authority,30-03-2016,Awarded to Suppliers,RESORTS WORLD AT SENTOSA PTE. LTD.,213180,3,3
BCA000ETT16000006,"APPOINTMENT OF AN INTEGRATED MARKETING COMMUNICATIONS AGENCY TO CONCEPTUALISE, DEVELOP, IMPLEMENT AND MANAGE THE PUBLICITY CAMPAIGN FOR BIG DAY OUT 2016",Building and Construction Authority,15-04-2016,Awarded to Suppliers,ATOMZ I! PTE. LTD.,143216,3,3
BCA000ETT16000007,Term Contract for The Maintenance of Mechanical and Electrical Services at Academic Tower in BCA Academy,Building and Construction Authority,08-06-2016,Awarded to Suppliers,GWTECH ENGINEERING PTE. LTD.,1255800,3,3
BCA000ETT16000008,"CONCEPTUALISATION, DEVELOPMENT AND EVENT MANAGMEMENT FOR THE BIG DAY OUT 2016",Building and Construction Authority,16-05-2016,Awarded to Suppliers,Pico Art International Pte Ltd,498650,3,3
BCA000ETT16000009,"APPOINTMENT OF AN INTEGRATED MARKETING COMMUNICATIONS / EVENTS MANAGEMENT AGENCY TO PROVIDE CONCEPTUALISATION FOR EVENTS AND EXHIBITION MANAGEMENT SERVICES, WEBSITE MANAGEMENT AND MATERIALS FOR SINGAPORE UNIVERSAL DESIGN WEEK (SUDW) 2016",Building and Construction Authority,06-04-2016,Awarded to Suppliers,Pico Art International Pte Ltd,138350,3,3
BCA000ETT16000010,"Industry survey on CONQUAS, Quality Mark (QM) and Green and Gracious Builder Scheme (GGBS)",Building and Construction Authority,29-07-2016,Awarded to Suppliers,FROST & SULLIVAN (SINGAPORE) PTE LTD,90125,3,3
BCA000ETT16000011,"APPOINTMENT OF AN INTEGRATED MARKETING COMMUNICATIONS AGENCY TO CONCEPTULAISE, DESIGN AND IMPLEMENT PROJECT BUILD COMPETITION 2016 PUBLICITY CAMPAIGN",Building and Construction Authority,22-04-2016,Awarded to Suppliers,ADDICTION ADVERTISING PTE. LTD.,48790,3,3
BCA000ETT16000012,"BCA WINDOW SAFETY CAMPAIGN 2016 - 2017: CREATIVE CONCEPT, ARTWORK AND MEDIA BUYING",Building and Construction Authority,20-05-2016,Awarded to Suppliers,ADDICTION ADVERTISING PTE. LTD.,304919.84,3,3
BCA000ETT16000013,"OVERALL EVENT MANAGEMENT, COORDINATION AND EXECUTION FOR OPENING CEREMONY OF BCAA SKYLAB AND BCA ACADEMIC TOWER ON 20 JULY 2016",Building and Construction Authority,18-05-2016,Awarded to Suppliers,TRICOM EVENTS PRIVATE LIMITED,113209,3,3
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29-06-2016,Awarded to Suppliers,BGC Group Pte. Ltd.,188.65,3,3
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29-06-2016,Awarded to Suppliers,Business Edge Personnel Services Pte Ltd,146.18,3,3
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29-06-2016,Awarded to Suppliers,CAPITA PTE. LTD.,340.9,3,3
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29-06-2016,Awarded to Suppliers,ELITEZ PTE. LTD.,247.5,3,3
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29-06-2016,Awarded to Suppliers,GATES PCM CONSTRUCTION LTD.,313.69,4,3
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29-06-2016,Awarded to Suppliers,KELLY SERVICES (SINGAPORE) PTE. LTD.,219,4,3
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29-06-2016,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.,235.36,4,3
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29-06-2016,Awarded to Suppliers,Recruit Express Pte Ltd,197.3,4,3
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29-06-2016,Awarded to Suppliers,SCIENTEC CONSULTING PTE. LTD.,215.9,4,3
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29-06-2016,Awarded to Suppliers,SKILLSFORCE MANAGEMENT CONSULTANCY PTE LTD,248.49,4,3
BCA000ETT16000014,PROVISION OF TEMPORARY MANPOWER TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JUNE 2016 TO 31 MAY 2018,Building and Construction Authority,29-06-2016,Awarded to Suppliers,TRANSCENDENT BUSINESS SERVICES PTE. LTD.,390.52,4,3
BCA000ETT16000015,MARKET RESEARCH SERVICES TO CONDUCT PUBLIC PERCEPTION SURVEY ON BCA GREEN MARK,Building and Construction Authority,01-06-2016,Awarded to Suppliers,FROST & SULLIVAN (SINGAPORE) PTE LTD,172800,4,3
BCA000ETT16000017,"Supply, Delivery, Commissioning and Testing of one (1) unit New Telescopic Handler with five (5) years of servicing and maintenance and Trade-in of one (1) unit of existing telescopic handler (JCB model 520-120) at BCA Academy",Building and Construction Authority,04-08-2016,Awarded to No Suppliers,Unknown,0,4,3
BCA000ETT16000018,Term Contract for comprehensive maintenance of horticulture works at BCA Academy,Building and Construction Authority,20-06-2016,Awarded to Suppliers,TROPIC PLANNERS & LANDSCAPE PTE. LTD.,235200,4,3
BCA000ETT16000019,Fixed Assets Management Services Using the Barcode System,Building and Construction Authority,11-08-2016,Awarded to Suppliers,ST INTEGRATED ENGINEERING PTE. LTD.,47000,4,3
BCA000ETT16000022,Engagement of International PR Agency for Singapore Green Building Week (SGBW) 2016,Building and Construction Authority,04-08-2016,Awarded to Suppliers,THE HOFFMAN AGENCY ASIA PACIFIC PTE LTD,141440,4,3
BCA000ETT16000023,DESIGN AND CONSTRUCTION OF BCA PAVILION AT BEX ASIA 2016 (07 - 09 SEP) AND SINGAPORE PAVILION AT US GREENBUILD EXPO 2016 (05 06 OCT),Building and Construction Authority,01-09-2016,Awarded to Suppliers,Pico Art International Pte Ltd,280000,4,3
BCA000ETT16000024,Term contract for conservancy & cleaning works at BCA Academy,Building and Construction Authority,23-08-2016,Awarded to Suppliers,ABSOLUTE MAINTENANCE SERVICES PTE LTD,2462700,4,3
BCA000ETT16000025,Term Contract for the maintenance & improvement to existing Electrical Installation in BCA Academy,Building and Construction Authority,24-08-2016,Awarded to Suppliers,ELIKTRICAL ENGINEERING PTE. LTD.,150000,4,3
BCA000ETT16000026,"TERM CONTRACT FOR THE INSPECTION, MAINTENANCE AND POSITIONAL SURVEY OF MOORING BUOYS OFF THE COAST OF PULAU PUNGGOL BARAT",Building and Construction Authority,19-08-2016,Awarded to Suppliers,HSL Constructor Pte Ltd,3750,4,1
BCA000ETT16000026,"TERM CONTRACT FOR THE INSPECTION, MAINTENANCE AND POSITIONAL SURVEY OF MOORING BUOYS OFF THE COAST OF PULAU PUNGGOL BARAT",Building and Construction Authority,19-08-2016,Awarded to Suppliers,IMD CONTRACTORS PTE. LTD.,21450,4,1
BCA000ETT16000029,APPOINTMENT OF AN EXHIBITION SPECIALIST TO DESIGN AND CONSTRUCT BCA PAVILION AND AGENCIES PAVILION (OPTIONAL) AT THE BUILDTECH ASIA 2016 EXHIBITION,Building and Construction Authority,13-10-2016,Awarded to Suppliers,Pico Art International Pte Ltd,358950,4,1
BCA000ETT16000032,"CONCEPTUALISATION, DEVELOPMENT AND EVENT MANAGEMENT FOR PROJECT BUILD EXHIBITION 2016",Building and Construction Authority,23-09-2016,Awarded to Suppliers,Kingsmen Exhibits Pte Ltd,177670,4,1
BCA000ETT16000034,DEVELOPMENT AND MANAGEMENT OF PROJECT BUILD EXHIBITION 2016 PUBLICITY CAMPAIGN,Building and Construction Authority,29-09-2016,Awarded to Suppliers,ATOMZ I! PTE. LTD.,141577,4,1
BCA000ETT16000036,REPAIR AND RESTORATION OF PULAU PUNGGOL AGGREGATE TERMINAL AND TUAS AGGREGATE TERMINAL,Building and Construction Authority,28-12-2016,Awarded to Suppliers,SING TEC DEVELOPMENT PTE. LTD.,11000000,4,1
BCA000ETT16000039,PROVISION OF MEDICAL SERVICES TO BUILDING AND CONSTRUCTION AUTHORITY FOR THE PERIOD 1 JAN 2017 TO 31 DEC 2019,Building and Construction Authority,19-12-2016,Awarded to Suppliers,PARKWAY SHENTON PTE LTD,312240,4,1
BCA000ETT16000045,Insurance Coverage for Building and Construction Authority for a period of two (2) years commencing from 1 Dec 2016 to 30 Nov 2018.,Building and Construction Authority,23-12-2016,Awarded to Suppliers,KIB INSURANCE BROKERS (S) PTE LTD,110700.98,4,1
CAA000ETT14000042,PROVISION OF CONSULTANCY SERVICES TO REVIEW AIR TRAFFIC CONTROL OPERATIONS,Civil Aviation Authority of Singapore,23-02-2015,Awarded to Suppliers,"INGENIERIA Y ECONOMIA DEL TRANSPORTE, S.A.",174146.19,4,1
CAA000ETT14000042,PROVISION OF CONSULTANCY SERVICES TO REVIEW AIR TRAFFIC CONTROL OPERATIONS,Civil Aviation Authority of Singapore,23-02-2015,Awarded to Suppliers,NATS (SERVICES) LIMITED,3735378,4,1
CAA000ETT14000043,Supply and Installation of Splash Screen for Diesel Storage Tanks,Civil Aviation Authority of Singapore,27-01-2015,Awarded to Suppliers,AGITECH INNOVATIONS PRIVATE LIMITED,169500,4,1
CAA000ETT14000046,"To conceptualize an optimal security and facilitation configuration for Changi East Industrial Zone (CEIZ) and Airport Logistics Parks (ALPS) II, review the current security and facilitation configuration of Changi Airfreight Centre (CAC) and ALPS, and propose how the optimal configuration that was proposed for CEIZ and ALPS II can also be implemented in CAC and ALPS.",Civil Aviation Authority of Singapore,03-02-2015,Awarded to Suppliers,ASERO WORLDWIDE LTD,390000,4,1
CAA000ETT14000048,Three Years Period Contract for the Supply of Diesel,Civil Aviation Authority of Singapore,13-01-2015,Awarded to Suppliers,CNC PETROLEUM PTE. LTD.,111029.6,4,1
CAA000ETT14000049,"Conceptualisation, Design, Provision and Operation of Exhibition Bus.",Civil Aviation Authority of Singapore,07-01-2015,Awarded to Suppliers,CITYNEON EVENTS PTE. LTD.,613900,4,1
CAA000ETT14000050,Multi-Disciplinary Design Consultancy Services for the Proposed CAAS Buildings Near Singapore Changi Airport,Civil Aviation Authority of Singapore,26-03-2015,Awarded to Suppliers,SURBANA JURONG INFRASTRUCTURE PTE. LTD.,1794000,4,1
CAA000ETT14000051,Provision of venue for the Aviation Open House 2015 from 13 to 15 August 2015,Civil Aviation Authority of Singapore,03-02-2015,Awarded to Suppliers,SUNTEC SINGAPORE INT'L CONVENTION & EXHIBITION CENTRE,177957.35,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,AECOM SINGAPORE PTE. LTD.,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,ALLEN & GLEDHILL LLP,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,CAA INTERNATIONAL LIMITED,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,CASTALIA LIMITED,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,Cambridge Economic Policy Associates Ltd,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,DELOITTE & TOUCHE FINANCIAL ADVISORY SERVICES PTE. LTD.,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,DOTECON LIMITED,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,ERNST & YOUNG SOLUTIONS LLP,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,EUROPEAN ECONOMIC RESEARCH LIMTED,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,FIRST ECONOMICS PTE. LIMITED,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,HELIOS TECHNOLOGY LIMITED,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,HOUSTON KEMP PTY LTD,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,INTERVISTAS CONSULTING INC.,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,LOTAN GROUP INTERNATIONAL LTD,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,NERA UK LIMITED,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,PRICEWATERHOUSECOOPERS LLP,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,RAJAH & TANN SINGAPORE LLP,1,4,1
CAA000ETT14000052,Framework Agreement for the provision of consultancy service and economic advice in relation to airport economic and service regulatory work,Civil Aviation Authority of Singapore,25-03-2015,Awarded to Suppliers,STICHTING SEO ECONOMISCH ONDERZOEK,1,4,1
CAA000ETT15000001,Provision of Software Maintenance and Related Services for Human Resource Information System,Civil Aviation Authority of Singapore,30-01-2015,Awarded to Suppliers,STARVISION INFORMATION TECHNOLOGY PTE LTD,411062,4,1
CAA000ETT15000003,SUPPLY AND INSTALLATION OF TOTAL GAS FLOODING SYSTEM,Civil Aviation Authority of Singapore,01-04-2015,Awarded to Suppliers,IFACILITIES PTE. LTD.,263600,4,1
CAA000ETT15000005,"Supply, Deliver and Installation of Signal Lamps for Changi Control Tower and Seletar Control Tower, Including A 5-Year Comprehensive Maintenance",Civil Aviation Authority of Singapore,17-04-2015,Awarded to Suppliers,ST ENGINEERING ELECTRONICS LTD.,106726,4,1
CAA000ETT15000006,Additional and Alteration Works to CAAS Office at Singapore Changi Airport Terminal 2,Civil Aviation Authority of Singapore,13-05-2015,Awarded to Suppliers,VALENCIA DESIGN PTE. LTD.,167480,4,1
CAA000ETT15000007,Provision of Venue and Dinner Banquet Services,Civil Aviation Authority of Singapore,02-04-2015,Awarded to Suppliers,RC HOTELS (PTE) LTD,91630,4,1
CAA000ETT15000008,"REQUEST FOR PROPOSAL FOR THE DEVELOPMENT, IMPLEMENTATION AND MONITORING OF AN INTEGRATED MEDIA CAMPAIGN TO PROMOTE AVIATION CAREERS AND EVENTS",Civil Aviation Authority of Singapore,30-04-2015,Awarded to Suppliers,DENTSU SINGAPORE PTE LTD,1469198.27,4,1
CAA000ETT15000009,Provision of Tree Pollarding Services,Civil Aviation Authority of Singapore,21-04-2015,Awarded to Suppliers,GOLDEN LANDSCAPE & CONSTRUCTION PTE. LTD.,228800,4,1
CAA000ETT15000010,Provision of Consultancy Services to Conduct a Changi Airside Community Safety Culture Gap Analysis Study,Civil Aviation Authority of Singapore,04-06-2015,Awarded to Suppliers,NATS (SERVICES) LIMITED,129576,4,1
CAA000ETT15000011,"Provision of Design, Layout and Placement of Recruitment Advertisements",Civil Aviation Authority of Singapore,07-04-2015,Awarded to Suppliers,STARLIGHT ADVERTISING (PTE) LTD.,76293,4,1
CAA000ETT15000012,Provision of Event Management Services for Aviation Roadshows and Aviation Open House,Civil Aviation Authority of Singapore,19-05-2015,Awarded to Suppliers,C2 CREATIVE COMMUNICATIONS PTE. LTD.,419880,4,1
CAA000ETT15000012,Provision of Event Management Services for Aviation Roadshows and Aviation Open House,Civil Aviation Authority of Singapore,19-05-2015,Awarded to Suppliers,MILTON EXHIBITS (SINGAPORE) PTE. LTD.,354695,4,1
CAA000ETT15000013,Provision Of Application Maintenance And Support Services For The SAP System,Civil Aviation Authority of Singapore,25-05-2015,Awarded to Suppliers,NCS PTE. LTD.,450780,4,1
CAA000ETT15000014,Replacement of Fire Protection System and Components of Related Systems at Singapore Aviation Academy,Civil Aviation Authority of Singapore,04-08-2015,Awarded to Suppliers,IFACILITIES PTE. LTD.,358300,4,1
CAA000ETT15000015,Provision for M&E Underground Detection Works,Civil Aviation Authority of Singapore,04-05-2015,Awarded to Suppliers,JB TECHNICAL SERVICES,69600,4,1
CAA000ETT15000016,Provision Of Comprehensive Maintenance For Mechanical & Electrical Systems And Facilities In CAAS Premises For A Period Of 5 Years,Civil Aviation Authority of Singapore,26-06-2015,Awarded to Suppliers,INDECO ENGINEERS (PTE) LTD,23039903,4,1
CAA000ETT15000017,"Provision Of Area Patrol And Surveillance Services For A Period Of One Year, With An Option To Extend For One Year",Civil Aviation Authority of Singapore,17-04-2015,Awarded to Suppliers,Peregrine Security Pte Ltd,94600,4,1
CAA000ETT15000020,Replacement of Fan Coil Units and Variable Refrigerant Volume Air-Conditioning Systems,Civil Aviation Authority of Singapore,06-10-2015,Awarded to No Suppliers,Unknown,0,4,1
CAA000ETT15000021,Provision Of Custodial Building Maintenance Services In CAAS,Civil Aviation Authority of Singapore,28-04-2015,Awarded to Suppliers,UVW BUILDING SERVICES PTE. LTD.,577520,4,1
CAA000ETT15000022,Supply And Installation Of Air Traffic Control (ATC) Console System,Civil Aviation Authority of Singapore,07-07-2015,Awarded to Suppliers,POLY-M PTE. LTD.,85000,4,1
